Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
156,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,25,21.5,779,760,17,16,0,6,5,1,0,0,0,0,617,2,19
157,Carlos Bacca,co COL,FW,Granada,es La Liga,34,5.7,99,92,7,0,1,0,4,2,0,0,0,0,62,0,3
158,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,12.0,364,237,125,38,0,0,0,0,0,0,0,0,216,2,0
159,Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,21,10.9,729,718,10,8,0,4,2,2,0,0,0,0,655,1,1
160,Milan Badelj,hr CRO,MF,Genoa,it Serie A,32,31.6,1575,1522,43,39,4,12,10,4,0,0,0,0,1230,10,28
161,Édgar Badía,es ESP,GK,Elche,es La Liga,29,24.0,830,542,286,76,0,0,0,0,0,0,0,0,565,2,0
162,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,20,20.4,1380,1352,27,24,1,15,1,3,0,0,0,0,1212,1,8
163,Youssouph Badji,sn SEN,"FW,MF",Brest,fr Ligue 1,19,1.5,35,34,1,0,0,0,1,0,0,0,0,0,22,0,1
164,Miguel Baeza,es ESP,DF,Celta Vigo,es La Liga,21,0.0,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0
165,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,17,0.0,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0
166,Issa Bah,lu LUX,FW,Venezia,it Serie A,19,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
167,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,29,12.2,218,203,15,0,1,0,10,2,0,0,0,0,157,0,10
168,Leon Bailey,jm JAM,"FW,MF",Aston Villa,eng Premier League,23,8.5,226,209,16,1,1,3,33,4,11,10,1,0,150,1,8
169,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27,2.4,85,81,4,4,0,1,0,0,0,0,0,0,68,0,1
170,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,28,2.0,84,81,3,3,0,1,0,0,0,0,0,0,79,0,0
171,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,5.7,186,127,58,14,0,1,0,0,0,0,0,0,130,1,0
172,Nedim Bajrami,al ALB,"MF,FW",Empoli,it Serie A,22,22.8,898,730,163,32,5,4,156,8,97,40,47,0,621,5,31
173,Cédric Bakambu,cd COD,FW,Marseille,fr Ligue 1,30,4.0,67,62,5,0,0,0,3,1,0,0,0,0,50,0,0
174,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,3.4,136,132,4,4,0,0,0,0,0,0,0,0,93,0,4
175,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,26,5.6,304,303,1,1,0,2,1,0,0,0,0,0,269,0,3
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
176,Mitchel Bakker,nl NED,DF,Leverkusen,de Bundesliga,21,20.2,1228,1046,181,15,2,6,37,166,0,0,0,0,994,1,28
177,Ridle Baku,de GER,"DF,FW",Wolfsburg,de Bundesliga,23,27.2,1338,1109,222,17,2,5,73,200,5,1,0,0,1011,7,31
178,Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,fr Ligue 1,18,0.5,14,13,1,0,0,0,0,0,0,0,0,0,7,0,0
179,Tommaso Baldanzi,it ITA,FW,Empoli,it Serie A,18,0.2,6,6,0,0,0,0,1,0,0,0,0,0,5,0,0
180,Alejandro Balde,es ESP,"DF,FW",Barcelona,es La Liga,17,2.1,150,143,7,2,0,0,6,5,0,0,0,0,138,0,2
181,Ibrahima Baldé,fr FRA,"FW,MF",Lens,fr Ligue 1,18,0.6,11,9,2,0,0,0,1,1,0,0,0,0,7,0,0
182,Keita Baldé,sn SEN,FW,Cagliari,it Serie A,26,13.7,260,248,12,1,1,1,8,0,0,0,0,0,187,0,6
183,Gareth Bale,wls WAL,FW,Real Madrid,es La Liga,32,3.1,65,62,0,0,0,1,3,0,0,0,0,0,45,3,2
