Rk,Player,Nation,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
137,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,29-011,30.7,5,0,0,33,64,0,154,26,31,0,0,1,225,30,30,50.0
138,Mohamed El Arouch,fr FRA,MF,Lyon,fr Ligue 1,19-062,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,
139,Sergio Arribas,es ESP,"MF,FW",Real Madrid,es La Liga,21-250,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
140,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,28-247,28.5,1,0,0,0,8,0,0,1,2,0,0,0,42,11,1,91.7
141,Roberto Arroyo,es ESP,MF,Valladolid,es La Liga,19-286,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
142,Tolgay Arslan,de GER,MF,Udinese,it Serie A,32-295,13.4,3,0,0,15,35,0,28,12,18,0,0,0,78,8,4,66.7
143,Ricard Artero,es ESP,"MF,FW",Girona,es La Liga,20-122,1.5,0,0,0,2,1,0,0,1,3,0,0,0,8,2,2,50.0
144,Arthur,br BRA,FW,Fiorentina,it Serie A,25-043,15.9,4,0,0,26,18,2,4,1,2,0,1,0,39,49,49,50.0
145,Santiago Arzamendia,py PAR,"DF,MF",Cádiz,es La Liga,25-033,5.4,0,0,0,4,2,1,14,2,8,0,0,0,46,6,6,50.0
146,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,28-209,19.0,1,0,0,10,24,7,28,8,9,0,0,0,82,19,28,40.4
147,Santiago Ascacíbar,ar ARG,MF,Cremonese,it Serie A,26-102,8.1,1,0,0,11,9,0,5,13,14,0,0,0,62,10,20,33.3
148,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33-344,10.0,0,0,0,0,4,0,0,0,0,0,0,0,22,0,0,
149,Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,27-137,16.0,1,0,0,10,16,4,82,5,10,1,1,0,45,3,2,60.0
150,Kristoffer Askildsen,no NOR,MF,Lecce,it Serie A,22-149,8.1,3,0,0,20,7,1,19,11,3,0,1,0,45,21,19,52.5
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
151,Fisnik Asllani,xk KVX,FW,Hoffenheim,de Bundesliga,20-303,1.9,0,0,0,2,3,2,3,3,0,0,0,0,4,6,7,46.2
152,Kristjan Asllani,al ALB,MF,Inter,it Serie A,21-090,6.5,2,0,0,5,7,0,21,6,5,0,0,0,37,0,4,0.0
153,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,35-310,31.9,6,0,0,16,59,12,45,7,4,0,0,0,103,31,45,40.8
154,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,22-350,2.9,3,0,0,4,4,0,4,2,2,0,0,0,19,8,4,66.7
155,Youcef Atal,dz ALG,"DF,MF",Nice,fr Ligue 1,27-021,8.7,1,0,0,9,15,3,40,14,22,0,0,0,51,9,7,56.3
156,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,17-286,1.9,0,0,0,7,8,2,1,0,3,0,0,0,10,3,0,100.0
157,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,eng Premier League,33-354,6.2,1,0,0,5,1,0,3,2,0,0,0,0,11,3,11,21.4
158,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,33-354,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
159,Emil Audero,it ITA,GK,Sampdoria,it Serie A,26-140,25.0,1,0,0,0,2,0,0,0,0,0,0,1,41,6,0,100.0
160,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,28-281,34.0,3,0,0,14,26,1,170,17,14,0,1,0,183,38,32,54.3
161,Ludwig Augustinsson,se SWE,DF,Aston Villa,eng Premier League,29-047,0.9,1,0,0,1,3,0,5,0,1,0,0,0,9,4,1,80.0
162,Ludwig Augustinsson,se SWE,DF,Mallorca,es La Liga,29-047,1.5,0,0,0,1,1,0,6,1,1,0,0,0,13,4,1,80.0
163,Serge Aurier,ci CIV,DF,Nott'ham Forest,eng Premier League,30-165,21.6,2,0,0,18,19,0,40,29,41,0,0,0,126,46,32,59.0
164,Mathias Autret,fr FRA,"MF,FW",Auxerre,fr Ligue 1,32-098,14.3,0,0,0,7,4,2,65,12,10,0,0,0,73,5,13,27.8
165,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,29-121,19.0,7,1,0,25,35,14,81,8,5,0,0,0,54,35,50,41.2
166,Cédric Avinel,gp GLP,DF,Ajaccio,fr Ligue 1,36-269,19.9,2,1,0,12,2,0,0,15,7,0,2,0,93,38,15,71.7
167,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,25-299,15.6,2,0,0,24,19,15,3,4,10,0,0,0,56,20,61,24.7
168,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,19-244,0.7,0,0,0,0,3,0,0,0,2,0,0,0,3,0,1,0.0
169,Mehmet Aydin,de GER,"DF,FW",Schalke 04,de Bundesliga,21-118,6.3,0,0,0,6,6,0,23,10,18,0,0,0,49,13,17,43.3
