Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
67,Miguel Almirón,py PAR,MF,Newcastle Utd,eng Premier League,24,8.4,380,7,56,157,175,25,380,14,7,50.0,7,50.0,215,1714,1037,31,16,6,22,6,240,45
68,Júnior Alonso,py PAR,"DF,MF",Celta Vigo,es La Liga,25,6.0,386,24,121,202,65,8,386,4,1,25.0,3,75.0,196,649,336,6,10,0,6,3,231,19
69,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,30.7,2631,109,668,1137,843,70,2631,33,17,51.5,15,45.5,1446,7514,4482,102,81,7,32,28,1681,230
70,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,29,6.3,375,23,108,154,116,8,375,6,4,66.7,2,33.3,159,1141,649,21,13,2,10,3,194,38
71,Sergio Álvarez,es ESP,"DF,MF",Eibar,es La Liga,26,11.9,619,49,178,405,42,6,619,2,1,50.0,1,50.0,276,1152,482,7,2,0,2,6,330,3
72,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,13.0,490,444,489,1,0,0,490,0,0,,0,,221,1397,1043,0,0,0,0,0,189,0
73,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23,29.0,1628,172,772,819,55,23,1628,6,5,83.3,1,16.7,755,4481,2747,18,14,1,10,8,902,2
74,Bruno Alves,pt POR,DF,Parma,it Serie A,36,32.5,1564,277,898,601,75,28,1564,3,3,100.0,0,0.0,739,4057,2384,4,4,0,6,1,811,5
75,Dani Alves,br BRA,"MF,DF",Paris S-G,fr Ligue 1,35,18.0,1745,24,244,1012,506,36,1745,30,16,53.3,14,46.7,1049,4226,2553,41,47,5,22,24,1389,131
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
76,Alfons Amade,de GER,MF,Hoffenheim,de Bundesliga,18,0.1,5,1,1,2,2,1,5,0,0,,0,,1,1,0,0,0,0,0,0,2,0
77,Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,es La Liga,25,8.5,451,31,153,258,45,5,451,6,5,83.3,1,16.7,222,942,458,3,5,0,6,8,268,13
78,Romain Amalfitano,fr FRA,"MF,FW",Dijon,fr Ligue 1,28,28.0,1407,58,284,878,261,11,1407,51,27,52.9,24,47.1,791,4983,2345,44,42,4,53,36,912,62
79,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,23,7.1,518,43,193,272,54,3,518,4,2,50.0,2,50.0,293,1124,608,8,9,1,3,4,276,8
