Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
75,Allan,br BRA,MF,Everton,eng Premier League,29,24,23,2051,22.8,0,0,0,0,0,0,6,0,0.3,0.3,0.8,1.1,30,92,8,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
76,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,24,15,7,620,6.9,0,1,1,0,0,0,0,0,2.0,2.0,1.2,3.3,15,26,30,0.00,0.15,0.15,0.00,0.15,0.30,0.18,0.47,0.30,0.47
77,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,26,34,28,2429,27.0,4,1,5,4,0,0,3,0,3.2,3.2,2.9,6.1,70,90,109,0.15,0.04,0.19,0.15,0.19,0.12,0.11,0.23,0.12,0.23
78,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,13,11,960,10.7,2,0,2,2,0,0,2,0,1.8,1.8,1.3,3.2,24,42,74,0.19,0.00,0.19,0.19,0.19,0.17,0.13,0.30,0.17,0.30
79,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,28,27,17,1568,17.4,0,0,0,0,0,0,3,0,0.4,0.4,0.3,0.8,9,49,15,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
80,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,23,22,1948,21.6,1,0,1,1,0,0,6,0,0.6,0.6,0.5,1.1,19,65,2,0.05,0.00,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05
81,Bruno Alves,pt POR,DF,Parma,it Serie A,38,19,18,1632,18.1,1,0,1,1,0,0,3,0,0.4,0.4,0.1,0.6,0,50,6,0.06,0.00,0.06,0.06,0.06,0.02,0.01,0.03,0.02,0.03
82,Steven Alzate,co COL,MF,Brighton,eng Premier League,21,15,10,896,10.0,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4,16,39,16,0.10,0.00,0.10,0.10,0.10,0.08,0.06,0.14,0.08,0.14
83,Ibrahim Amadou,fr FRA,MF,Angers,fr Ligue 1,27,24,20,1504,16.7,0,0,0,0,0,0,6,0,1.5,1.5,0.2,1.7,14,63,14,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10
84,Romain Amalfitano,fr FRA,"FW,DF",Dijon,fr Ligue 1,30,2,1,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,8,8,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
85,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,12,8,722,8.0,1,0,1,1,0,0,3,0,0.4,0.4,0.0,0.4,4,24,0,0.12,0.00,0.12,0.12,0.12,0.05,0.00,0.05,0.05,0.05
87,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,13,10,813,9.0,1,0,1,1,0,0,3,1,0.2,0.2,0.3,0.5,17,25,33,0.11,0.00,0.11,0.11,0.11,0.03,0.03,0.06,0.03,0.06
88,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,23,23,5,753,8.4,0,1,1,0,0,0,4,0,1.0,1.0,1.4,2.4,26,30,77,0.00,0.12,0.12,0.00,0.12,0.12,0.16,0.29,0.12,0.29
89,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,23,29,20,1890,21.0,2,6,8,2,0,0,5,0,2.2,2.2,3.1,5.3,45,113,82,0.10,0.29,0.38,0.10,0.38,0.10,0.15,0.25,0.10,0.25
91,Ethan Ampadu,wls WAL,"DF,MF",Sheffield Utd,eng Premier League,19,25,23,2089,23.2,0,0,0,0,0,0,3,0,0.3,0.3,1.2,1.5,25,100,23,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.01,0.07
92,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,31,28,2441,27.1,0,0,0,0,0,0,7,0,0.4,0.4,0.6,1.1,38,151,46,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
93,Jon Ander Garrido,es ESP,MF,Cádiz,es La Liga,30,23,7,800,8.9,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,0,22,3,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
94,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,24,31,30,2730,30.3,1,1,2,1,0,0,7,1,1.2,1.2,0.4,1.7,20,95,7,0.03,0.03,0.07,0.03,0.07,0.04,0.01,0.05,0.04,0.05
95,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,3,2,192,2.1,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,4,12,0,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16
96,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,3,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
97,Elliot Anderson,sct SCO,MF,Newcastle Utd,eng Premier League,17,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
98,Felipe Anderson,br BRA,"FW,MF",West Ham,eng Premier League,27,2,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,29,16,14,1126,12.5,3,0,3,2,1,1,1,0,6.2,5.4,0.3,5.7,6,20,55,0.24,0.00,0.24,0.16,0.16,0.49,0.03,0.52,0.43,0.46
100,Nícolas Andrade,br BRA,GK,Udinese,it Serie A,32,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
