Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
101,Michail Antonio,jm JAM,"MF,FW",West Ham,eng Premier League,28,23.4,23,14,12,6,5,6,12,50.0,6,38,3,35,18,41,26,1
102,Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,30,20.7,35,21,16,15,4,18,42,42.9,24,21,8,13,18,53,31,0
103,Vitorino Antunes,pt POR,"DF,MF",Getafe,es La Liga,31,24.2,41,26,22,17,2,27,45,60.0,18,33,7,26,43,84,75,1
104,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,23,12.0,33,19,15,16,2,6,14,42.9,8,14,1,13,11,44,25,1
105,Dennis Aogo,de GER,MF,Stuttgart,de Bundesliga,31,11.4,15,10,6,7,2,6,15,40.0,9,8,1,7,9,24,19,0
106,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,20,34.0,63,38,28,25,10,17,61,27.9,44,33,6,27,32,95,25,3
107,Emmanuel Apeh,ng NGA,"FW,MF",Celta Vigo,es La Liga,21,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
108,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,22,29.7,59,33,18,37,4,23,76,30.3,53,44,9,35,30,89,36,0
109,Guilherme Arana,br BRA,DF,Sevilla,es La Liga,21,7.0,11,6,5,5,1,6,7,85.7,1,6,3,3,9,20,8,0
110,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,29,21.0,48,30,21,22,5,21,66,31.8,45,31,2,29,25,73,27,1
111,Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,22,8.7,23,17,8,9,6,9,24,37.5,15,6,1,5,3,26,4,0
112,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,29.8,42,22,32,9,1,18,22,81.8,4,32,21,11,35,77,153,1
113,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,31,21.7,31,24,25,5,1,17,27,63.0,10,12,5,7,46,77,92,2
114,Joaquín Ardaiz,uy URU,FW,Frosinone,it Serie A,19,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
115,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,21.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,4,1
116,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,26,19.7,48,32,31,16,1,20,31,64.5,11,14,2,12,34,82,43,0
117,Lorenzo Ariaudo,it ITA,DF,Frosinone,it Serie A,29,18.7,20,14,15,4,1,6,10,60.0,4,31,20,11,14,34,103,0
118,Nicolò Armini,it ITA,DF,Lazio,it Serie A,17,0.4,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0
119,Yoël Armougom,fr FRA,DF,Caen,fr Ligue 1,20,20.6,31,21,20,9,2,15,29,51.7,14,9,3,6,21,52,66,0
120,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,26,15.9,28,20,14,6,8,8,42,19.0,34,14,0,14,12,40,12,0
121,José Arnaiz,es ESP,"MF,FW",Leganés,es La Liga,23,1.3,1,1,1,0,0,0,3,0.0,3,0,0,0,2,3,1,0
122,Marko Arnautović,at AUT,FW,West Ham,eng Premier League,29,22.1,9,5,4,3,2,1,7,14.3,6,4,2,2,3,12,6,0
123,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,24,31.9,52,30,21,27,4,21,61,34.4,40,31,10,21,35,87,48,1
124,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,36.0,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,4,2
125,Harry Arter,ie IRL,MF,Cardiff City,eng Premier League,28,22.2,62,37,27,26,9,16,46,34.8,30,33,5,28,21,83,21,2
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
